question,optionA,optionB,optionC,optionD,correctAnswer
Fill in the blank: He is taller _ me.,than,then,that,as,A
Choose the correctly spelt word.,Conscience,Concience,Consciense,Consience,A
The police are searching _ the suspect.,for,of,at,on,A
Choose the word opposite in meaning to "Transparent",Clear,Obvious,Opaque,Visible,C
She has not finished her work, _?,has she,hasn't she,is she,isn't she,A
Choose the word nearest in meaning to "Wealthy",Poor,Rich,Needy,Broke,B
Fill in the blank: The train arrived _ time.,at,in,on,by,C
Choose the correctly spelt word.,Seperate,Separate,Separete,Seperete,B
Either Musa or his friends _ responsible.,is,was,are,be,C
Choose the word opposite in meaning to "Simple",Easy,Plain,Complex,Clear,C
He apologized _ his mistake.,for,of,with,at,A
Choose the word nearest in meaning to "Endure",Suffer,Enjoy,Smile,Laugh,A
Fill in the blank: She is married _ a doctor.,with,to,for,by,B
Choose the correctly spelt word.,Pronounciation,Pronunciation,Pronounciaton,Pronounciacion,B
The team performed badly, _?,didn't they,did they,don't they,doesn't it,A
Choose the word opposite in meaning to "Noisy",Loud,Quiet,Rowdy,Talkative,B
He is capable _ solving the problem.,at,of,for,in,B
Choose the word nearest in meaning to "Accurate",Correct,Wrong,Rough,False,A
Fill in the blank: I have known him _ childhood.,for,since,from,by,B
Choose the correctly spelt word.,Occurence,Occurrence,Ocurrence,Occurrance,B
The teacher gave the books to Ada and _.,I,me,myself,mine,B
Choose the word opposite in meaning to "Permanent",Lasting,Temporary,Fixed,Stable,B
She congratulated him _ his success.,for,on,at,with,B
Choose the word nearest in meaning to "Difficult",Easy,Hard,Simple,Soft,B
Fill in the blank: The cat is hiding _ the table.,under,above,beside,between,A
Choose the correctly spelt word.,Guarantee,Guarentee,Gurantee,Guaranty,A
Mathematics _ my favorite subject.,are,were,is,be,C
Choose the word opposite in meaning to "Courage",Bravery,Fear,Confidence,Strength,B
He was absent _ school yesterday.,from,at,in,on,A
Choose the word nearest in meaning to "Permit",Allow,Reject,Refuse,Prevent,A
Fill in the blank: She arrived _ the airport early.,at,in,on,by,A
Choose the correctly spelt word.,Recommend,Reccommend,Recomend,Reccmend,A
The furniture _ expensive.,are,were,is,be,C
Choose the word opposite in meaning to "Honest",Truthful,Sincere,Dishonest,Loyal,C
He is fond _ music.,for,of,at,on,B
Choose the word nearest in meaning to "Quiet",Silent,Noisy,Loud,Talkative,A
Fill in the blank: We have been waiting _ two hours.,since,for,from,by,B
Choose the correctly spelt word.,Perserverance,Perseverance,Perseverence,Perserverence,B
Everyone _ expected to attend.,are,were,is,be,C
Choose the word opposite in meaning to "Bright",Shiny,Smart,Dull,Clever,C
She agreed _ the proposal.,with,to,for,at,B
Choose the word nearest in meaning to "Purchase",Sell,Buy,Trade,Exchange,B
Fill in the blank: The meeting starts _ 9 a.m.,at,in,on,by,A
Choose the correctly spelt word.,Independance,Independence,Independece,Indipendence,B
The children enjoyed _ at the party.,them,themselves,their,theirs,B
Choose the word opposite in meaning to "Strong",Powerful,Weak,Healthy,Firm,B
He insisted _ paying the bill.,on,in,at,for,A
Choose the word nearest in meaning to "Famous",Unknown,Popular,Hidden,Secret,B
Fill in the blank: She is afraid _ dogs.,for,of,at,with,B
Choose the correctly spelt word.,Temperature,Temprature,Tempereture,Temprerature,A
There _ many people in the hall.,is,was,are,be,C
Choose the word opposite in meaning to "Expand",Grow,Shrink,Stretch,Increase,B
He apologized _ being late.,for,of,with,at,A
Choose the word nearest in meaning to "Protect",Defend,Attack,Harm,Destroy,A
Fill in the blank: This book belongs _ me.,for,with,to,at,C
Choose the correctly spelt word.,Enviroment,Environment,Envirenment,Environmant,B
